dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1833-01-01,2.29,2.487,Kabul,Afghanistan,34.56N,70.05E
1833-02-01,3.319,2.325,Kabul,Afghanistan,34.56N,70.05E
1833-03-01,7.444000000000000,2.733,Kabul,Afghanistan,34.56N,70.05E
1833-04-01,13.576000000000000,2.266,Kabul,Afghanistan,34.56N,70.05E
1833-05-01,19.321,2.362,Kabul,Afghanistan,34.56N,70.05E
1833-06-01,24.406,1.972,Kabul,Afghanistan,34.56N,70.05E
1833-07-01,25.447,1.62,Kabul,Afghanistan,34.56N,70.05E
1833-08-01,23.827,1.778,Kabul,Afghanistan,34.56N,70.05E
1833-09-01,19.593,1.749,Kabul,Afghanistan,34.56N,70.05E
1833-10-01,13.87,1.7620000000000000,Kabul,Afghanistan,34.56N,70.05E
1833-11-01,10.029,2.016,Kabul,Afghanistan,34.56N,70.05E
1833-12-01,3.85,2.369,Kabul,Afghanistan,34.56N,70.05E
1834-01-01,-0.10600000000000000,2.237,Kabul,Afghanistan,34.56N,70.05E
1834-02-01,3.3690000000000000,2.612,Kabul,Afghanistan,34.56N,70.05E
1834-03-01,8.918,2.443,Kabul,Afghanistan,34.56N,70.05E
1834-04-01,13.462,2.355,Kabul,Afghanistan,34.56N,70.05E
1834-05-01,20.039,2.256,Kabul,Afghanistan,34.56N,70.05E
1834-06-01,23.652000000000000,2.242,Kabul,Afghanistan,34.56N,70.05E
1834-07-01,25.76,1.712,Kabul,Afghanistan,34.56N,70.05E
1834-08-01,23.964000000000000,1.473,Kabul,Afghanistan,34.56N,70.05E
1834-09-01,20.347,2.15,Kabul,Afghanistan,34.56N,70.05E
1834-10-01,14.314,1.729,Kabul,Afghanistan,34.56N,70.05E
1834-11-01,9.276000000000000,2.195,Kabul,Afghanistan,34.56N,70.05E
1834-12-01,3.9790000000000000,1.952,Kabul,Afghanistan,34.56N,70.05E
1835-01-01,,,Kabul,Afghanistan,34.56N,70.05E
1835-02-01,,,Kabul,Afghanistan,34.56N,70.05E
1835-03-01,,,Kabul,Afghanistan,34.56N,70.05E
1835-04-01,,,Kabul,Afghanistan,34.56N,70.05E
1835-05-01,,,Kabul,Afghanistan,34.56N,70.05E
1835-06-01,,,Kabul,Afghanistan,34.56N,70.05E
1835-07-01,24.888,1.893,Kabul,Afghanistan,34.56N,70.05E
1835-08-01,22.713,1.4380000000000000,Kabul,Afghanistan,34.56N,70.05E
1835-09-01,18.399,1.71,Kabul,Afghanistan,34.56N,70.05E
1835-10-01,13.445,1.654,Kabul,Afghanistan,34.56N,70.05E
1835-11-01,6.820000000000000,1.821,Kabul,Afghanistan,34.56N,70.05E
1835-12-01,1.9780000000000000,2.197,Kabul,Afghanistan,34.56N,70.05E
1836-01-01,,,Kabul,Afghanistan,34.56N,70.05E
1836-02-01,,,Kabul,Afghanistan,34.56N,70.05E
1836-03-01,,,Kabul,Afghanistan,34.56N,70.05E
1836-04-01,,,Kabul,Afghanistan,34.56N,70.05E
1836-05-01,,,Kabul,Afghanistan,34.56N,70.05E
1836-06-01,,,Kabul,Afghanistan,34.56N,70.05E
1836-07-01,,,Kabul,Afghanistan,34.56N,70.05E
1836-08-01,,,Kabul,Afghanistan,34.56N,70.05E
1836-09-01,,,Kabul,Afghanistan,34.56N,70.05E
1836-10-01,,,Kabul,Afghanistan,34.56N,70.05E
1836-11-01,,,Kabul,Afghanistan,34.56N,70.05E
1836-12-01,,,Kabul,Afghanistan,34.56N,70.05E
1837-01-01,,,Kabul,Afghanistan,34.56N,70.05E
1837-02-01,,,Kabul,Afghanistan,34.56N,70.05E
1837-03-01,,,Kabul,Afghanistan,34.56N,70.05E
1837-04-01,,,Kabul,Afghanistan,34.56N,70.05E
1837-05-01,,,Kabul,Afghanistan,34.56N,70.05E
1837-06-01,,,Kabul,Afghanistan,34.56N,70.05E
1837-07-01,25.314,1.5590000000000000,Kabul,Afghanistan,34.56N,70.05E
1837-08-01,23.735,1.423,Kabul,Afghanistan,34.56N,70.05E
1837-09-01,19.962,1.621,Kabul,Afghanistan,34.56N,70.05E
1837-10-01,13.14,2.221,Kabul,Afghanistan,34.56N,70.05E
1837-11-01,7.391000000000000,2.38,Kabul,Afghanistan,34.56N,70.05E
1837-12-01,3.262,3.039,Kabul,Afghanistan,34.56N,70.05E
1838-01-01,,,Kabul,Afghanistan,34.56N,70.05E
1838-02-01,,,Kabul,Afghanistan,34.56N,70.05E
1838-03-01,,,Kabul,Afghanistan,34.56N,70.05E
1838-04-01,12.899,2.479,Kabul,Afghanistan,34.56N,70.05E
1838-05-01,,,Kabul,Afghanistan,34.56N,70.05E
1838-06-01,23.756,1.96,Kabul,Afghanistan,34.56N,70.05E
1838-07-01,26.067000000000000,2.072,Kabul,Afghanistan,34.56N,70.05E
1838-08-01,24.211,2.391,Kabul,Afghanistan,34.56N,70.05E
