dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1856-01-01,24.824,1.435,Luanda,Angola,8.84S,13.78E
1856-02-01,24.304,1.622,Luanda,Angola,8.84S,13.78E
1856-03-01,24.93,1.269,Luanda,Angola,8.84S,13.78E
1856-04-01,24.855,1.252,Luanda,Angola,8.84S,13.78E
1856-05-01,23.494,1.605,Luanda,Angola,8.84S,13.78E
1856-06-01,,,Luanda,Angola,8.84S,13.78E
1856-07-01,,,Luanda,Angola,8.84S,13.78E
1856-08-01,,,Luanda,Angola,8.84S,13.78E
1856-09-01,,,Luanda,Angola,8.84S,13.78E
1856-10-01,,,Luanda,Angola,8.84S,13.78E
1856-11-01,,,Luanda,Angola,8.84S,13.78E
1856-12-01,,,Luanda,Angola,8.84S,13.78E
1857-01-01,,,Luanda,Angola,8.84S,13.78E
1857-02-01,,,Luanda,Angola,8.84S,13.78E
1857-03-01,,,Luanda,Angola,8.84S,13.78E
1857-04-01,24.028000000000000,1.248,Luanda,Angola,8.84S,13.78E
1857-05-01,23.057,1.505,Luanda,Angola,8.84S,13.78E
1857-06-01,,,Luanda,Angola,8.84S,13.78E
1857-07-01,,,Luanda,Angola,8.84S,13.78E
1857-08-01,19.528,1.211,Luanda,Angola,8.84S,13.78E
1857-09-01,21.104,1.0760000000000000,Luanda,Angola,8.84S,13.78E
1857-10-01,22.593000000000000,1.169,Luanda,Angola,8.84S,13.78E
1857-11-01,23.945,1.286,Luanda,Angola,8.84S,13.78E
1857-12-01,24.306000000000000,1.421,Luanda,Angola,8.84S,13.78E
1858-01-01,24.827000000000000,1.901,Luanda,Angola,8.84S,13.78E
1858-02-01,24.635,1.33,Luanda,Angola,8.84S,13.78E
1858-03-01,25.088,1.43,Luanda,Angola,8.84S,13.78E
1858-04-01,25.61,1.4,Luanda,Angola,8.84S,13.78E
1858-05-01,23.829,1.614,Luanda,Angola,8.84S,13.78E
1858-06-01,,,Luanda,Angola,8.84S,13.78E
1858-07-01,19.229000000000000,1.449,Luanda,Angola,8.84S,13.78E
1858-08-01,,,Luanda,Angola,8.84S,13.78E
1858-09-01,21.094,1.156,Luanda,Angola,8.84S,13.78E
1858-10-01,23.119,1.166,Luanda,Angola,8.84S,13.78E
1858-11-01,,,Luanda,Angola,8.84S,13.78E
1858-12-01,,,Luanda,Angola,8.84S,13.78E
1859-01-01,24.785,1.418,Luanda,Angola,8.84S,13.78E
1859-02-01,,,Luanda,Angola,8.84S,13.78E
1859-03-01,,,Luanda,Angola,8.84S,13.78E
1859-04-01,25.759,1.31,Luanda,Angola,8.84S,13.78E
1859-05-01,24.281,1.505,Luanda,Angola,8.84S,13.78E
1859-06-01,21.749000000000000,1.5660000000000000,Luanda,Angola,8.84S,13.78E
1859-07-01,19.75,1.444,Luanda,Angola,8.84S,13.78E
1859-08-01,19.912000000000000,1.22,Luanda,Angola,8.84S,13.78E
1859-09-01,21.22,1.044,Luanda,Angola,8.84S,13.78E
1859-10-01,23.222000000000000,1.273,Luanda,Angola,8.84S,13.78E
1859-11-01,24.185,1.58,Luanda,Angola,8.84S,13.78E
1859-12-01,24.355,1.679,Luanda,Angola,8.84S,13.78E
1860-01-01,24.936,1.513,Luanda,Angola,8.84S,13.78E
1860-02-01,25.211,1.4470000000000000,Luanda,Angola,8.84S,13.78E
1860-03-01,24.715,1.4280000000000000,Luanda,Angola,8.84S,13.78E
1860-04-01,,,Luanda,Angola,8.84S,13.78E
1860-05-01,23.858,1.457,Luanda,Angola,8.84S,13.78E
1860-06-01,21.847000000000000,1.505,Luanda,Angola,8.84S,13.78E
1860-07-01,20.052000000000000,1.44,Luanda,Angola,8.84S,13.78E
1860-08-01,20.389000000000000,1.28,Luanda,Angola,8.84S,13.78E
1860-09-01,22.054,1.116,Luanda,Angola,8.84S,13.78E
1860-10-01,23.317000000000000,1.154,Luanda,Angola,8.84S,13.78E
1860-11-01,23.628,1.266,Luanda,Angola,8.84S,13.78E
1860-12-01,22.933000000000000,1.382,Luanda,Angola,8.84S,13.78E
1861-01-01,23.18,1.675,Luanda,Angola,8.84S,13.78E
1861-02-01,24.412,1.351,Luanda,Angola,8.84S,13.78E
1861-03-01,25.089,1.258,Luanda,Angola,8.84S,13.78E
1861-04-01,24.825,1.405,Luanda,Angola,8.84S,13.78E
1861-05-01,23.633000000000000,1.474,Luanda,Angola,8.84S,13.78E
1861-06-01,21.636,1.639,Luanda,Angola,8.84S,13.78E
1861-07-01,19.873,1.4980000000000000,Luanda,Angola,8.84S,13.78E
1861-08-01,20.072000000000000,1.235,Luanda,Angola,8.84S,13.78E
1861-09-01,,,Luanda,Angola,8.84S,13.78E
1861-10-01,,,Luanda,Angola,8.84S,13.78E
1861-11-01,24.132000000000000,1.594,Luanda,Angola,8.84S,13.78E
1861-12-01,24.082000000000000,1.709,Luanda,Angola,8.84S,13.78E
1862-01-01,23.458,1.56,Luanda,Angola,8.84S,13.78E
1862-02-01,23.892,1.3870000000000000,Luanda,Angola,8.84S,13.78E
1862-03-01,25.202000000000000,1.336,Luanda,Angola,8.84S,13.78E
1862-04-01,24.978,1.37,Luanda,Angola,8.84S,13.78E
1862-05-01,,,Luanda,Angola,8.84S,13.78E
1862-06-01,,,Luanda,Angola,8.84S,13.78E
1862-07-01,,,Luanda,Angola,8.84S,13.78E
1862-08-01,,,Luanda,Angola,8.84S,13.78E
1862-09-01,,,Luanda,Angola,8.84S,13.78E
1862-10-01,,,Luanda,Angola,8.84S,13.78E
1862-11-01,,,Luanda,Angola,8.84S,13.78E
1862-12-01,,,Luanda,Angola,8.84S,13.78E
1863-01-01,,,Luanda,Angola,8.84S,13.78E
1863-02-01,,,Luanda,Angola,8.84S,13.78E
1863-03-01,,,Luanda,Angola,8.84S,13.78E
1863-04-01,,,Luanda,Angola,8.84S,13.78E
1863-05-01,,,Luanda,Angola,8.84S,13.78E
1863-06-01,,,Luanda,Angola,8.84S,13.78E
1863-07-01,,,Luanda,Angola,8.84S,13.78E
1863-08-01,,,Luanda,Angola,8.84S,13.78E
1863-09-01,,,Luanda,Angola,8.84S,13.78E
1863-10-01,,,Luanda,Angola,8.84S,13.78E
1863-11-01,,,Luanda,Angola,8.84S,13.78E
1863-12-01,,,Luanda,Angola,8.84S,13.78E
1864-01-01,,,Luanda,Angola,8.84S,13.78E
1864-02-01,,,Luanda,Angola,8.84S,13.78E
1864-03-01,,,Luanda,Angola,8.84S,13.78E
1864-04-01,,,Luanda,Angola,8.84S,13.78E
1864-05-01,,,Luanda,Angola,8.84S,13.78E
1864-06-01,,,Luanda,Angola,8.84S,13.78E
1864-07-01,,,Luanda,Angola,8.84S,13.78E
1864-08-01,,,Luanda,Angola,8.84S,13.78E
1864-09-01,,,Luanda,Angola,8.84S,13.78E
1864-10-01,,,Luanda,Angola,8.84S,13.78E
1864-11-01,,,Luanda,Angola,8.84S,13.78E
1864-12-01,,,Luanda,Angola,8.84S,13.78E
1865-01-01,,,Luanda,Angola,8.84S,13.78E
1865-02-01,,,Luanda,Angola,8.84S,13.78E
1865-03-01,,,Luanda,Angola,8.84S,13.78E
1865-04-01,,,Luanda,Angola,8.84S,13.78E
1865-05-01,,,Luanda,Angola,8.84S,13.78E
1865-06-01,,,Luanda,Angola,8.84S,13.78E
1865-07-01,,,Luanda,Angola,8.84S,13.78E
1865-08-01,,,Luanda,Angola,8.84S,13.78E
1865-09-01,,,Luanda,Angola,8.84S,13.78E
1865-10-01,,,Luanda,Angola,8.84S,13.78E
1865-11-01,,,Luanda,Angola,8.84S,13.78E
1865-12-01,,,Luanda,Angola,8.84S,13.78E
1866-01-01,,,Luanda,Angola,8.84S,13.78E
1866-02-01,,,Luanda,Angola,8.84S,13.78E
1866-03-01,,,Luanda,Angola,8.84S,13.78E
1866-04-01,,,Luanda,Angola,8.84S,13.78E
1866-05-01,,,Luanda,Angola,8.84S,13.78E
1866-06-01,,,Luanda,Angola,8.84S,13.78E
1866-07-01,,,Luanda,Angola,8.84S,13.78E
1866-08-01,,,Luanda,Angola,8.84S,13.78E
1866-09-01,,,Luanda,Angola,8.84S,13.78E
1866-10-01,,,Luanda,Angola,8.84S,13.78E
1866-11-01,,,Luanda,Angola,8.84S,13.78E
1866-12-01,,,Luanda,Angola,8.84S,13.78E
1867-01-01,,,Luanda,Angola,8.84S,13.78E
1867-02-01,,,Luanda,Angola,8.84S,13.78E
1867-03-01,,,Luanda,Angola,8.84S,13.78E
1867-04-01,,,Luanda,Angola,8.84S,13.78E
1867-05-01,,,Luanda,Angola,8.84S,13.78E
1867-06-01,,,Luanda,Angola,8.84S,13.78E
1867-07-01,,,Luanda,Angola,8.84S,13.78E
1867-08-01,,,Luanda,Angola,8.84S,13.78E
1867-09-01,,,Luanda,Angola,8.84S,13.78E
1867-10-01,,,Luanda,Angola,8.84S,13.78E
1867-11-01,,,Luanda,Angola,8.84S,13.78E
1867-12-01,,,Luanda,Angola,8.84S,13.78E
1868-01-01,,,Luanda,Angola,8.84S,13.78E
1868-02-01,,,Luanda,Angola,8.84S,13.78E
1868-03-01,,,Luanda,Angola,8.84S,13.78E
1868-04-01,,,Luanda,Angola,8.84S,13.78E
1868-05-01,,,Luanda,Angola,8.84S,13.78E
1868-06-01,,,Luanda,Angola,8.84S,13.78E
1868-07-01,,,Luanda,Angola,8.84S,13.78E
1868-08-01,,,Luanda,Angola,8.84S,13.78E
1868-09-01,,,Luanda,Angola,8.84S,13.78E
1868-10-01,,,Luanda,Angola,8.84S,13.78E
1868-11-01,,,Luanda,Angola,8.84S,13.78E
1868-12-01,,,Luanda,Angola,8.84S,13.78E
1869-01-01,,,Luanda,Angola,8.84S,13.78E
1869-02-01,,,Luanda,Angola,8.84S,13.78E
1869-03-01,,,Luanda,Angola,8.84S,13.78E
1869-04-01,,,Luanda,Angola,8.84S,13.78E
1869-05-01,,,Luanda,Angola,8.84S,13.78E
1869-06-01,,,Luanda,Angola,8.84S,13.78E
