dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1841-01-01,19.101,4.244,Melbourne,Australia,37.78S,144.41E
1841-02-01,19.744,2.995,Melbourne,Australia,37.78S,144.41E
1841-03-01,16.611000000000000,4.42,Melbourne,Australia,37.78S,144.41E
1841-04-01,12.269,1.766,Melbourne,Australia,37.78S,144.41E
1841-05-01,10.275,1.188,Melbourne,Australia,37.78S,144.41E
1841-06-01,8.550000000000000,1.272,Melbourne,Australia,37.78S,144.41E
1841-07-01,7.6740000000000000,1.97,Melbourne,Australia,37.78S,144.41E
1841-08-01,8.799,1.181,Melbourne,Australia,37.78S,144.41E
1841-09-01,10.302,1.64,Melbourne,Australia,37.78S,144.41E
1841-10-01,12.436,1.29,Melbourne,Australia,37.78S,144.41E
1841-11-01,14.795,2.033,Melbourne,Australia,37.78S,144.41E
1841-12-01,16.504,1.592,Melbourne,Australia,37.78S,144.41E
1842-01-01,18.698,1.836,Melbourne,Australia,37.78S,144.41E
1842-02-01,19.461,2.133,Melbourne,Australia,37.78S,144.41E
1842-03-01,17.773,1.891,Melbourne,Australia,37.78S,144.41E
1842-04-01,12.976000000000000,3.022,Melbourne,Australia,37.78S,144.41E
1842-05-01,10.151,1.105,Melbourne,Australia,37.78S,144.41E
1842-06-01,7.946000000000000,1.228,Melbourne,Australia,37.78S,144.41E
1842-07-01,6.857,1.016,Melbourne,Australia,37.78S,144.41E
1842-08-01,8.325,1.155,Melbourne,Australia,37.78S,144.41E
1842-09-01,10.332,1.584,Melbourne,Australia,37.78S,144.41E
1842-10-01,11.144,2.089,Melbourne,Australia,37.78S,144.41E
1842-11-01,14.73,1.346,Melbourne,Australia,37.78S,144.41E
1842-12-01,17.069000000000000,2.441,Melbourne,Australia,37.78S,144.41E
1843-01-01,19.182000000000000,1.686,Melbourne,Australia,37.78S,144.41E
1843-02-01,19.978000000000000,1.632,Melbourne,Australia,37.78S,144.41E
1843-03-01,17.226,2.064,Melbourne,Australia,37.78S,144.41E
1843-04-01,12.852,2.063,Melbourne,Australia,37.78S,144.41E
1843-05-01,10.152000000000000,1.776,Melbourne,Australia,37.78S,144.41E
1843-06-01,8.788,1.818,Melbourne,Australia,37.78S,144.41E
1843-07-01,7.673000000000000,1.094,Melbourne,Australia,37.78S,144.41E
1843-08-01,8.5,1.203,Melbourne,Australia,37.78S,144.41E
1843-09-01,9.93,1.089,Melbourne,Australia,37.78S,144.41E
1843-10-01,12.354000000000000,1.237,Melbourne,Australia,37.78S,144.41E
1843-11-01,15.428000000000000,2.48,Melbourne,Australia,37.78S,144.41E
1843-12-01,17.965,1.987,Melbourne,Australia,37.78S,144.41E
1844-01-01,18.617,1.784,Melbourne,Australia,37.78S,144.41E
1844-02-01,19.317,2.71,Melbourne,Australia,37.78S,144.41E
1844-03-01,16.495000000000000,2.083,Melbourne,Australia,37.78S,144.41E
1844-04-01,12.147,2.417,Melbourne,Australia,37.78S,144.41E
1844-05-01,10.158,1.454,Melbourne,Australia,37.78S,144.41E
