dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1796-01-01,18.476000000000000,2.303,Dhaka,Bangladesh,23.31N,90.00E
1796-02-01,21.114,1.715,Dhaka,Bangladesh,23.31N,90.00E
1796-03-01,24.412,2.37,Dhaka,Bangladesh,23.31N,90.00E
1796-04-01,28.015,1.875,Dhaka,Bangladesh,23.31N,90.00E
1796-05-01,29.245,1.604,Dhaka,Bangladesh,23.31N,90.00E
1796-06-01,29.201,2.786,Dhaka,Bangladesh,23.31N,90.00E
1796-07-01,28.454,2.089,Dhaka,Bangladesh,23.31N,90.00E
1796-08-01,29.215,2.704,Dhaka,Bangladesh,23.31N,90.00E
1796-09-01,28.538,3.077,Dhaka,Bangladesh,23.31N,90.00E
1796-10-01,26.987,1.456,Dhaka,Bangladesh,23.31N,90.00E
1796-11-01,23.187000000000000,2.674,Dhaka,Bangladesh,23.31N,90.00E
1796-12-01,17.34,3.535,Dhaka,Bangladesh,23.31N,90.00E
1797-01-01,,,Dhaka,Bangladesh,23.31N,90.00E
1797-02-01,,,Dhaka,Bangladesh,23.31N,90.00E
1797-03-01,24.935,2.022,Dhaka,Bangladesh,23.31N,90.00E
1797-04-01,27.122,2.76,Dhaka,Bangladesh,23.31N,90.00E
1797-05-01,28.374000000000000,2.173,Dhaka,Bangladesh,23.31N,90.00E
1797-06-01,29.508000000000000,1.973,Dhaka,Bangladesh,23.31N,90.00E
1797-07-01,28.324,2.056,Dhaka,Bangladesh,23.31N,90.00E
1797-08-01,29.006,1.91,Dhaka,Bangladesh,23.31N,90.00E
1797-09-01,28.623,2.765,Dhaka,Bangladesh,23.31N,90.00E
1797-10-01,26.569000000000000,2.0,Dhaka,Bangladesh,23.31N,90.00E
1797-11-01,22.063,1.876,Dhaka,Bangladesh,23.31N,90.00E
1797-12-01,19.117,2.498,Dhaka,Bangladesh,23.31N,90.00E
1798-01-01,18.719,1.932,Dhaka,Bangladesh,23.31N,90.00E
1798-02-01,21.325,1.938,Dhaka,Bangladesh,23.31N,90.00E
1798-03-01,26.659000000000000,1.87,Dhaka,Bangladesh,23.31N,90.00E
1798-04-01,,,Dhaka,Bangladesh,23.31N,90.00E
1798-05-01,,,Dhaka,Bangladesh,23.31N,90.00E
1798-06-01,28.948,1.925,Dhaka,Bangladesh,23.31N,90.00E
1798-07-01,29.476,2.114,Dhaka,Bangladesh,23.31N,90.00E
1798-08-01,29.565,3.732,Dhaka,Bangladesh,23.31N,90.00E
1798-09-01,28.446000000000000,2.379,Dhaka,Bangladesh,23.31N,90.00E
1798-10-01,26.66,2.136,Dhaka,Bangladesh,23.31N,90.00E
1798-11-01,23.729,2.399,Dhaka,Bangladesh,23.31N,90.00E
1798-12-01,18.636,1.946,Dhaka,Bangladesh,23.31N,90.00E
1799-01-01,18.05,2.14,Dhaka,Bangladesh,23.31N,90.00E
1799-02-01,19.768,2.319,Dhaka,Bangladesh,23.31N,90.00E
1799-03-01,25.167000000000000,2.382,Dhaka,Bangladesh,23.31N,90.00E
1799-04-01,28.897,3.002,Dhaka,Bangladesh,23.31N,90.00E
1799-05-01,29.393,1.615,Dhaka,Bangladesh,23.31N,90.00E
1799-06-01,29.611,2.317,Dhaka,Bangladesh,23.31N,90.00E
1799-07-01,28.908,1.826,Dhaka,Bangladesh,23.31N,90.00E
1799-08-01,29.114,1.228,Dhaka,Bangladesh,23.31N,90.00E
1799-09-01,28.724,2.202,Dhaka,Bangladesh,23.31N,90.00E
1799-10-01,27.501,1.858,Dhaka,Bangladesh,23.31N,90.00E
1799-11-01,23.343000000000000,1.626,Dhaka,Bangladesh,23.31N,90.00E
1799-12-01,18.825,1.565,Dhaka,Bangladesh,23.31N,90.00E
1800-01-01,18.44,1.966,Dhaka,Bangladesh,23.31N,90.00E
1800-02-01,21.762000000000000,3.217,Dhaka,Bangladesh,23.31N,90.00E
1800-03-01,25.019000000000000,2.775,Dhaka,Bangladesh,23.31N,90.00E
1800-04-01,29.259,1.9,Dhaka,Bangladesh,23.31N,90.00E
1800-05-01,28.509,1.589,Dhaka,Bangladesh,23.31N,90.00E
1800-06-01,28.996,1.49,Dhaka,Bangladesh,23.31N,90.00E
1800-07-01,28.084,1.614,Dhaka,Bangladesh,23.31N,90.00E
1800-08-01,28.493000000000000,1.994,Dhaka,Bangladesh,23.31N,90.00E
1800-09-01,27.476,1.998,Dhaka,Bangladesh,23.31N,90.00E
1800-10-01,27.225,2.143,Dhaka,Bangladesh,23.31N,90.00E
1800-11-01,23.506,2.332,Dhaka,Bangladesh,23.31N,90.00E
1800-12-01,19.743,1.675,Dhaka,Bangladesh,23.31N,90.00E
1801-01-01,18.832,1.785,Dhaka,Bangladesh,23.31N,90.00E
1801-02-01,20.785,1.581,Dhaka,Bangladesh,23.31N,90.00E
1801-03-01,27.267,1.945,Dhaka,Bangladesh,23.31N,90.00E
