dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1832-01-01,22.516,1.556,Belo Horizonte,Brazil,20.09S,44.36W
1832-02-01,23.198,3.471,Belo Horizonte,Brazil,20.09S,44.36W
1832-03-01,22.188000000000000,1.6670000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1832-04-01,20.045,2.7430000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1832-05-01,18.5,2.253,Belo Horizonte,Brazil,20.09S,44.36W
1832-06-01,18.043,2.059,Belo Horizonte,Brazil,20.09S,44.36W
1832-07-01,17.749000000000000,2.747,Belo Horizonte,Brazil,20.09S,44.36W
1832-08-01,18.51,2.57,Belo Horizonte,Brazil,20.09S,44.36W
1832-09-01,19.754,2.998,Belo Horizonte,Brazil,20.09S,44.36W
1832-10-01,20.629,2.249,Belo Horizonte,Brazil,20.09S,44.36W
1832-11-01,21.288,1.3430000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1832-12-01,21.269,4.198,Belo Horizonte,Brazil,20.09S,44.36W
1833-01-01,22.573,2.807,Belo Horizonte,Brazil,20.09S,44.36W
1833-02-01,24.176,2.394,Belo Horizonte,Brazil,20.09S,44.36W
1833-03-01,22.732,2.998,Belo Horizonte,Brazil,20.09S,44.36W
1833-04-01,21.599,2.226,Belo Horizonte,Brazil,20.09S,44.36W
1833-05-01,18.783,1.374,Belo Horizonte,Brazil,20.09S,44.36W
1833-06-01,18.076,1.983,Belo Horizonte,Brazil,20.09S,44.36W
1833-07-01,17.763000000000000,1.496,Belo Horizonte,Brazil,20.09S,44.36W
1833-08-01,19.717,2.708,Belo Horizonte,Brazil,20.09S,44.36W
1833-09-01,21.243,2.307,Belo Horizonte,Brazil,20.09S,44.36W
1833-10-01,21.603,2.23,Belo Horizonte,Brazil,20.09S,44.36W
1833-11-01,23.889,1.92,Belo Horizonte,Brazil,20.09S,44.36W
1833-12-01,23.326,2.843,Belo Horizonte,Brazil,20.09S,44.36W
1834-01-01,22.143,2.529,Belo Horizonte,Brazil,20.09S,44.36W
1834-02-01,23.008000000000000,2.11,Belo Horizonte,Brazil,20.09S,44.36W
1834-03-01,22.501000000000000,2.565,Belo Horizonte,Brazil,20.09S,44.36W
1834-04-01,20.757,2.158,Belo Horizonte,Brazil,20.09S,44.36W
1834-05-01,20.205,1.827,Belo Horizonte,Brazil,20.09S,44.36W
1834-06-01,16.793,2.5580000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1834-07-01,18.382,1.875,Belo Horizonte,Brazil,20.09S,44.36W
1834-08-01,18.578000000000000,1.395,Belo Horizonte,Brazil,20.09S,44.36W
1834-09-01,20.761000000000000,2.412,Belo Horizonte,Brazil,20.09S,44.36W
1834-10-01,20.513,1.59,Belo Horizonte,Brazil,20.09S,44.36W
1834-11-01,21.116,3.167,Belo Horizonte,Brazil,20.09S,44.36W
1834-12-01,22.241000000000000,1.682,Belo Horizonte,Brazil,20.09S,44.36W
1835-01-01,22.57,2.175,Belo Horizonte,Brazil,20.09S,44.36W
1835-02-01,23.355,2.307,Belo Horizonte,Brazil,20.09S,44.36W
1835-03-01,20.931000000000000,2.313,Belo Horizonte,Brazil,20.09S,44.36W
1835-04-01,19.901,2.372,Belo Horizonte,Brazil,20.09S,44.36W
1835-05-01,18.264,1.268,Belo Horizonte,Brazil,20.09S,44.36W
1835-06-01,17.008,1.8,Belo Horizonte,Brazil,20.09S,44.36W
1835-07-01,18.137,2.789,Belo Horizonte,Brazil,20.09S,44.36W
1835-08-01,19.031,2.447,Belo Horizonte,Brazil,20.09S,44.36W
1835-09-01,18.587,1.357,Belo Horizonte,Brazil,20.09S,44.36W
1835-10-01,20.439,1.215,Belo Horizonte,Brazil,20.09S,44.36W
1835-11-01,20.915,2.168,Belo Horizonte,Brazil,20.09S,44.36W
1835-12-01,20.727000000000000,1.7380000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1836-01-01,22.66,1.221,Belo Horizonte,Brazil,20.09S,44.36W
1836-02-01,23.361,2.109,Belo Horizonte,Brazil,20.09S,44.36W
1836-03-01,22.896,1.171,Belo Horizonte,Brazil,20.09S,44.36W
1836-04-01,19.54,1.717,Belo Horizonte,Brazil,20.09S,44.36W
1836-05-01,17.443000000000000,1.7080000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1836-06-01,17.105,1.334,Belo Horizonte,Brazil,20.09S,44.36W
1836-07-01,18.553,2.639,Belo Horizonte,Brazil,20.09S,44.36W
1836-08-01,19.46,2.927,Belo Horizonte,Brazil,20.09S,44.36W
1836-09-01,18.841000000000000,2.186,Belo Horizonte,Brazil,20.09S,44.36W
1836-10-01,20.447,4.164,Belo Horizonte,Brazil,20.09S,44.36W
1836-11-01,20.525,1.794,Belo Horizonte,Brazil,20.09S,44.36W
1836-12-01,21.692000000000000,2.379,Belo Horizonte,Brazil,20.09S,44.36W
1837-01-01,22.308000000000000,2.108,Belo Horizonte,Brazil,20.09S,44.36W
1837-02-01,21.609,3.137,Belo Horizonte,Brazil,20.09S,44.36W
1837-03-01,20.773000000000000,1.777,Belo Horizonte,Brazil,20.09S,44.36W
1837-04-01,19.222,1.383,Belo Horizonte,Brazil,20.09S,44.36W
1837-05-01,18.27,1.773,Belo Horizonte,Brazil,20.09S,44.36W
1837-06-01,15.932,2.568,Belo Horizonte,Brazil,20.09S,44.36W
1837-07-01,16.937000000000000,1.446,Belo Horizonte,Brazil,20.09S,44.36W
1837-08-01,18.48,1.122,Belo Horizonte,Brazil,20.09S,44.36W
1837-09-01,19.635,1.486,Belo Horizonte,Brazil,20.09S,44.36W
1837-10-01,20.797,2.426,Belo Horizonte,Brazil,20.09S,44.36W
1837-11-01,20.871,2.21,Belo Horizonte,Brazil,20.09S,44.36W
1837-12-01,20.998,3.648,Belo Horizonte,Brazil,20.09S,44.36W
1838-01-01,21.257,2.911,Belo Horizonte,Brazil,20.09S,44.36W
1838-02-01,22.237,1.717,Belo Horizonte,Brazil,20.09S,44.36W
1838-03-01,20.963,1.641,Belo Horizonte,Brazil,20.09S,44.36W
1838-04-01,20.153,1.27,Belo Horizonte,Brazil,20.09S,44.36W
1838-05-01,17.634,1.315,Belo Horizonte,Brazil,20.09S,44.36W
1838-06-01,17.674,1.494,Belo Horizonte,Brazil,20.09S,44.36W
1838-07-01,18.097,3.0860000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1838-08-01,18.031,3.071,Belo Horizonte,Brazil,20.09S,44.36W
1838-09-01,20.143,1.301,Belo Horizonte,Brazil,20.09S,44.36W
1838-10-01,21.325,3.176,Belo Horizonte,Brazil,20.09S,44.36W
1838-11-01,21.163,2.228,Belo Horizonte,Brazil,20.09S,44.36W
1838-12-01,22.449,2.785,Belo Horizonte,Brazil,20.09S,44.36W
1839-01-01,22.124000000000000,1.938,Belo Horizonte,Brazil,20.09S,44.36W
1839-02-01,22.616000000000000,2.759,Belo Horizonte,Brazil,20.09S,44.36W
1839-03-01,21.053,1.913,Belo Horizonte,Brazil,20.09S,44.36W
1839-04-01,20.484,1.811,Belo Horizonte,Brazil,20.09S,44.36W
1839-05-01,18.751000000000000,1.042,Belo Horizonte,Brazil,20.09S,44.36W
1839-06-01,17.315000000000000,1.0490000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1839-07-01,17.084,3.3,Belo Horizonte,Brazil,20.09S,44.36W
1839-08-01,18.645000000000000,2.281,Belo Horizonte,Brazil,20.09S,44.36W
1839-09-01,19.154,1.626,Belo Horizonte,Brazil,20.09S,44.36W
1839-10-01,19.887,2.391,Belo Horizonte,Brazil,20.09S,44.36W
1839-11-01,20.324,1.993,Belo Horizonte,Brazil,20.09S,44.36W
1839-12-01,21.286000000000000,2.68,Belo Horizonte,Brazil,20.09S,44.36W
1840-01-01,22.601,1.69,Belo Horizonte,Brazil,20.09S,44.36W
1840-02-01,23.098000000000000,2.387,Belo Horizonte,Brazil,20.09S,44.36W
1840-03-01,20.894000000000000,1.213,Belo Horizonte,Brazil,20.09S,44.36W
1840-04-01,20.575,1.983,Belo Horizonte,Brazil,20.09S,44.36W
1840-05-01,19.66,1.629,Belo Horizonte,Brazil,20.09S,44.36W
1840-06-01,17.882000000000000,1.4270000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1840-07-01,17.851,1.621,Belo Horizonte,Brazil,20.09S,44.36W
1840-08-01,18.059,1.499,Belo Horizonte,Brazil,20.09S,44.36W
1840-09-01,20.443000000000000,1.506,Belo Horizonte,Brazil,20.09S,44.36W
1840-10-01,21.86,3.177,Belo Horizonte,Brazil,20.09S,44.36W
1840-11-01,21.469,3.23,Belo Horizonte,Brazil,20.09S,44.36W
1840-12-01,22.468000000000000,2.858,Belo Horizonte,Brazil,20.09S,44.36W
1841-01-01,22.229,2.103,Belo Horizonte,Brazil,20.09S,44.36W
1841-02-01,21.948,1.655,Belo Horizonte,Brazil,20.09S,44.36W
1841-03-01,22.829,4.336,Belo Horizonte,Brazil,20.09S,44.36W
1841-04-01,21.171,2.577,Belo Horizonte,Brazil,20.09S,44.36W
1841-05-01,18.898,1.222,Belo Horizonte,Brazil,20.09S,44.36W
1841-06-01,17.372,1.288,Belo Horizonte,Brazil,20.09S,44.36W
1841-07-01,17.721,1.579,Belo Horizonte,Brazil,20.09S,44.36W
1841-08-01,18.788,1.26,Belo Horizonte,Brazil,20.09S,44.36W
1841-09-01,19.752,0.93,Belo Horizonte,Brazil,20.09S,44.36W
1841-10-01,20.688000000000000,1.4510000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1841-11-01,21.129,1.1,Belo Horizonte,Brazil,20.09S,44.36W
1841-12-01,20.576,2.9160000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1842-01-01,22.587,1.5720000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1842-02-01,22.969,1.558,Belo Horizonte,Brazil,20.09S,44.36W
1842-03-01,23.578000000000000,2.091,Belo Horizonte,Brazil,20.09S,44.36W
1842-04-01,21.57,1.615,Belo Horizonte,Brazil,20.09S,44.36W
1842-05-01,19.014,1.258,Belo Horizonte,Brazil,20.09S,44.36W
1842-06-01,18.712,2.844,Belo Horizonte,Brazil,20.09S,44.36W
1842-07-01,18.493,2.532,Belo Horizonte,Brazil,20.09S,44.36W
1842-08-01,18.798,1.118,Belo Horizonte,Brazil,20.09S,44.36W
1842-09-01,18.62,2.232,Belo Horizonte,Brazil,20.09S,44.36W
1842-10-01,20.603,1.108,Belo Horizonte,Brazil,20.09S,44.36W
1842-11-01,21.248,1.4380000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1842-12-01,22.102000000000000,1.705,Belo Horizonte,Brazil,20.09S,44.36W
1843-01-01,23.366,1.53,Belo Horizonte,Brazil,20.09S,44.36W
1843-02-01,24.399,1.444,Belo Horizonte,Brazil,20.09S,44.36W
1843-03-01,22.526,1.3260000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1843-04-01,20.47,1.342,Belo Horizonte,Brazil,20.09S,44.36W
1843-05-01,20.041,3.452,Belo Horizonte,Brazil,20.09S,44.36W
1843-06-01,17.144000000000000,1.231,Belo Horizonte,Brazil,20.09S,44.36W
1843-07-01,16.641,2.131,Belo Horizonte,Brazil,20.09S,44.36W
1843-08-01,19.279,1.65,Belo Horizonte,Brazil,20.09S,44.36W
1843-09-01,20.648000000000000,1.324,Belo Horizonte,Brazil,20.09S,44.36W
1843-10-01,21.095,1.269,Belo Horizonte,Brazil,20.09S,44.36W
1843-11-01,21.491,1.027,Belo Horizonte,Brazil,20.09S,44.36W
1843-12-01,22.841000000000000,2.4090000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1844-01-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1844-02-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1844-03-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1844-04-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1844-05-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1844-06-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1844-07-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1844-08-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1844-09-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1844-10-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1844-11-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1844-12-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1845-01-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1845-02-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1845-03-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1845-04-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1845-05-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1845-06-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1845-07-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1845-08-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1845-09-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1845-10-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1845-11-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1845-12-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1846-01-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1846-02-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1846-03-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1846-04-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1846-05-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1846-06-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1846-07-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1846-08-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1846-09-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1846-10-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1846-11-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1846-12-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1847-01-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1847-02-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1847-03-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1847-04-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1847-05-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1847-06-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1847-07-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1847-08-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1847-09-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1847-10-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1847-11-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1847-12-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1848-01-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1848-02-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1848-03-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1848-04-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1848-05-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1848-06-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1848-07-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1848-08-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1848-09-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1848-10-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1848-11-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1848-12-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1849-01-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1849-02-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1849-03-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1849-04-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1849-05-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1849-06-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1849-07-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1849-08-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1849-09-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1849-10-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1849-11-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1849-12-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1850-01-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1850-02-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1850-03-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1850-04-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1850-05-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1850-06-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1850-07-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1850-08-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1850-09-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1850-10-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1850-11-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1850-12-01,,,Belo Horizonte,Brazil,20.09S,44.36W
1851-01-01,23.252,1.188,Belo Horizonte,Brazil,20.09S,44.36W
1851-02-01,23.299000000000000,1.271,Belo Horizonte,Brazil,20.09S,44.36W
1851-03-01,22.066,1.297,Belo Horizonte,Brazil,20.09S,44.36W
1851-04-01,21.663,2.9610000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1851-05-01,19.313,0.959,Belo Horizonte,Brazil,20.09S,44.36W
1851-06-01,17.690000000000000,1.128,Belo Horizonte,Brazil,20.09S,44.36W
1851-07-01,18.522000000000000,1.6570000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1851-08-01,19.187,1.319,Belo Horizonte,Brazil,20.09S,44.36W
1851-09-01,20.052,1.529,Belo Horizonte,Brazil,20.09S,44.36W
1851-10-01,21.606,1.992,Belo Horizonte,Brazil,20.09S,44.36W
1851-11-01,21.415,1.34,Belo Horizonte,Brazil,20.09S,44.36W
1851-12-01,21.545,3.08,Belo Horizonte,Brazil,20.09S,44.36W
1852-01-01,22.532000000000000,2.47,Belo Horizonte,Brazil,20.09S,44.36W
1852-02-01,22.807,1.18,Belo Horizonte,Brazil,20.09S,44.36W
1852-03-01,22.881,3.14,Belo Horizonte,Brazil,20.09S,44.36W
1852-04-01,20.796,1.281,Belo Horizonte,Brazil,20.09S,44.36W
1852-05-01,19.65,1.126,Belo Horizonte,Brazil,20.09S,44.36W
1852-06-01,18.41,1.6570000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1852-07-01,18.4,1.479,Belo Horizonte,Brazil,20.09S,44.36W
1852-08-01,18.790000000000000,1.114,Belo Horizonte,Brazil,20.09S,44.36W
1852-09-01,20.482000000000000,1.208,Belo Horizonte,Brazil,20.09S,44.36W
1852-10-01,21.033,1.4240000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1852-11-01,22.166,2.752,Belo Horizonte,Brazil,20.09S,44.36W
1852-12-01,23.576,2.393,Belo Horizonte,Brazil,20.09S,44.36W
1853-01-01,22.815,1.555,Belo Horizonte,Brazil,20.09S,44.36W
