dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1796-01-01,24.05,2.256,Rangoon,Burma,16.87N,95.44E
1796-02-01,25.371,1.606,Rangoon,Burma,16.87N,95.44E
1796-03-01,27.069000000000000,2.168,Rangoon,Burma,16.87N,95.44E
1796-04-01,29.497,1.584,Rangoon,Burma,16.87N,95.44E
1796-05-01,29.431000000000000,1.634,Rangoon,Burma,16.87N,95.44E
1796-06-01,28.073,2.676,Rangoon,Burma,16.87N,95.44E
1796-07-01,26.464000000000000,2.026,Rangoon,Burma,16.87N,95.44E
1796-08-01,27.195,2.6860000000000000,Rangoon,Burma,16.87N,95.44E
1796-09-01,27.016,3.0210000000000000,Rangoon,Burma,16.87N,95.44E
1796-10-01,27.042,1.337,Rangoon,Burma,16.87N,95.44E
1796-11-01,25.859,2.589,Rangoon,Burma,16.87N,95.44E
1796-12-01,22.323,3.5210000000000000,Rangoon,Burma,16.87N,95.44E
1797-01-01,,,Rangoon,Burma,16.87N,95.44E
1797-02-01,,,Rangoon,Burma,16.87N,95.44E
1797-03-01,27.578000000000000,1.7480000000000000,Rangoon,Burma,16.87N,95.44E
1797-04-01,28.546,2.512,Rangoon,Burma,16.87N,95.44E
1797-05-01,28.487,2.143,Rangoon,Burma,16.87N,95.44E
1797-06-01,28.267,1.855,Rangoon,Burma,16.87N,95.44E
1797-07-01,26.254,1.997,Rangoon,Burma,16.87N,95.44E
1797-08-01,26.851,1.867,Rangoon,Burma,16.87N,95.44E
1797-09-01,27.09,2.713,Rangoon,Burma,16.87N,95.44E
1797-10-01,26.604,1.872,Rangoon,Burma,16.87N,95.44E
1797-11-01,24.64,1.849,Rangoon,Burma,16.87N,95.44E
1797-12-01,24.158,2.59,Rangoon,Burma,16.87N,95.44E
1798-01-01,24.314,1.835,Rangoon,Burma,16.87N,95.44E
1798-02-01,25.538,1.832,Rangoon,Burma,16.87N,95.44E
1798-03-01,29.402,1.624,Rangoon,Burma,16.87N,95.44E
1798-04-01,,,Rangoon,Burma,16.87N,95.44E
1798-05-01,,,Rangoon,Burma,16.87N,95.44E
1798-06-01,27.689,1.817,Rangoon,Burma,16.87N,95.44E
1798-07-01,27.433000000000000,2.07,Rangoon,Burma,16.87N,95.44E
1798-08-01,27.507000000000000,3.643,Rangoon,Burma,16.87N,95.44E
1798-09-01,26.885,2.342,Rangoon,Burma,16.87N,95.44E
1798-10-01,26.646,2.031,Rangoon,Burma,16.87N,95.44E
1798-11-01,26.408,2.327,Rangoon,Burma,16.87N,95.44E
1798-12-01,23.639,2.103,Rangoon,Burma,16.87N,95.44E
1799-01-01,23.613000000000000,2.064,Rangoon,Burma,16.87N,95.44E
1799-02-01,23.979,2.208,Rangoon,Burma,16.87N,95.44E
1799-03-01,27.822,2.132,Rangoon,Burma,16.87N,95.44E
1799-04-01,30.423000000000000,2.793,Rangoon,Burma,16.87N,95.44E
1799-05-01,29.566,1.652,Rangoon,Burma,16.87N,95.44E
1799-06-01,28.414,2.227,Rangoon,Burma,16.87N,95.44E
1799-07-01,26.945,1.795,Rangoon,Burma,16.87N,95.44E
1799-08-01,27.015,1.243,Rangoon,Burma,16.87N,95.44E
1799-09-01,27.216000000000000,2.1590000000000000,Rangoon,Burma,16.87N,95.44E
1799-10-01,27.537,1.746,Rangoon,Burma,16.87N,95.44E
1799-11-01,26.082000000000000,1.561,Rangoon,Burma,16.87N,95.44E
1799-12-01,23.832000000000000,1.7620000000000000,Rangoon,Burma,16.87N,95.44E
1800-01-01,23.988000000000000,1.903,Rangoon,Burma,16.87N,95.44E
1800-02-01,26.041,3.099,Rangoon,Burma,16.87N,95.44E
1800-03-01,27.671,2.59,Rangoon,Burma,16.87N,95.44E
1800-04-01,30.749000000000000,1.625,Rangoon,Burma,16.87N,95.44E
1800-05-01,28.668000000000000,1.614,Rangoon,Burma,16.87N,95.44E
1800-06-01,27.794,1.404,Rangoon,Burma,16.87N,95.44E
1800-07-01,26.071,1.582,Rangoon,Burma,16.87N,95.44E
1800-08-01,26.387000000000000,1.976,Rangoon,Burma,16.87N,95.44E
1800-09-01,25.916,1.977,Rangoon,Burma,16.87N,95.44E
1800-10-01,27.263,2.036,Rangoon,Burma,16.87N,95.44E
1800-11-01,26.135,2.237,Rangoon,Burma,16.87N,95.44E
1800-12-01,24.849,1.871,Rangoon,Burma,16.87N,95.44E
1801-01-01,24.394000000000000,1.6970000000000000,Rangoon,Burma,16.87N,95.44E
1801-02-01,25.041,1.484,Rangoon,Burma,16.87N,95.44E
1801-03-01,29.956,1.67,Rangoon,Burma,16.87N,95.44E
1801-04-01,,,Rangoon,Burma,16.87N,95.44E
1801-05-01,,,Rangoon,Burma,16.87N,95.44E
1801-06-01,27.097,1.739,Rangoon,Burma,16.87N,95.44E
1801-07-01,26.931,2.264,Rangoon,Burma,16.87N,95.44E
1801-08-01,26.116,1.418,Rangoon,Burma,16.87N,95.44E
1801-09-01,26.622,1.388,Rangoon,Burma,16.87N,95.44E
1801-10-01,26.92,1.445,Rangoon,Burma,16.87N,95.44E
1801-11-01,26.145,1.588,Rangoon,Burma,16.87N,95.44E
1801-12-01,25.497,3.0580000000000000,Rangoon,Burma,16.87N,95.44E
1802-01-01,24.966000000000000,1.91,Rangoon,Burma,16.87N,95.44E
1802-02-01,25.857,1.702,Rangoon,Burma,16.87N,95.44E
1802-03-01,29.646,1.836,Rangoon,Burma,16.87N,95.44E
1802-04-01,30.012,1.843,Rangoon,Burma,16.87N,95.44E
1802-05-01,28.492000000000000,1.953,Rangoon,Burma,16.87N,95.44E
1802-06-01,28.874000000000000,1.529,Rangoon,Burma,16.87N,95.44E
1802-07-01,27.261,1.465,Rangoon,Burma,16.87N,95.44E
1802-08-01,26.923,1.462,Rangoon,Burma,16.87N,95.44E
1802-09-01,27.402000000000000,1.767,Rangoon,Burma,16.87N,95.44E
1802-10-01,27.497,2.668,Rangoon,Burma,16.87N,95.44E
1802-11-01,25.818,1.864,Rangoon,Burma,16.87N,95.44E
1802-12-01,23.85,2.0,Rangoon,Burma,16.87N,95.44E
1803-01-01,22.237,2.065,Rangoon,Burma,16.87N,95.44E
1803-02-01,24.251,2.504,Rangoon,Burma,16.87N,95.44E
1803-03-01,28.074,1.992,Rangoon,Burma,16.87N,95.44E
1803-04-01,30.686,1.69,Rangoon,Burma,16.87N,95.44E
1803-05-01,29.764,1.7520000000000000,Rangoon,Burma,16.87N,95.44E
1803-06-01,28.109,1.379,Rangoon,Burma,16.87N,95.44E
1803-07-01,27.407000000000000,1.411,Rangoon,Burma,16.87N,95.44E
1803-08-01,28.155,1.709,Rangoon,Burma,16.87N,95.44E
1803-09-01,27.656,1.4280000000000000,Rangoon,Burma,16.87N,95.44E
1803-10-01,27.2,2.196,Rangoon,Burma,16.87N,95.44E
1803-11-01,26.328000000000000,2.048,Rangoon,Burma,16.87N,95.44E
1803-12-01,23.746,2.367,Rangoon,Burma,16.87N,95.44E
1804-01-01,24.085,3.2230000000000000,Rangoon,Burma,16.87N,95.44E
1804-02-01,24.949,1.716,Rangoon,Burma,16.87N,95.44E
1804-03-01,27.943,2.863,Rangoon,Burma,16.87N,95.44E
1804-04-01,31.523000000000000,1.6880000000000000,Rangoon,Burma,16.87N,95.44E
1804-05-01,30.014,1.791,Rangoon,Burma,16.87N,95.44E
1804-06-01,28.312,1.3430000000000000,Rangoon,Burma,16.87N,95.44E
1804-07-01,28.122,2.041,Rangoon,Burma,16.87N,95.44E
1804-08-01,27.153000000000000,1.591,Rangoon,Burma,16.87N,95.44E
1804-09-01,27.454,2.801,Rangoon,Burma,16.87N,95.44E
1804-10-01,27.011,1.661,Rangoon,Burma,16.87N,95.44E
1804-11-01,27.219,2.987,Rangoon,Burma,16.87N,95.44E
1804-12-01,23.442000000000000,3.0860000000000000,Rangoon,Burma,16.87N,95.44E
1805-01-01,24.143,1.804,Rangoon,Burma,16.87N,95.44E
1805-02-01,25.138,2.144,Rangoon,Burma,16.87N,95.44E
1805-03-01,28.868000000000000,1.494,Rangoon,Burma,16.87N,95.44E
1805-04-01,29.427,2.012,Rangoon,Burma,16.87N,95.44E
1805-05-01,29.289,1.501,Rangoon,Burma,16.87N,95.44E
1805-06-01,28.385,2.03,Rangoon,Burma,16.87N,95.44E
1805-07-01,26.705,1.54,Rangoon,Burma,16.87N,95.44E
1805-08-01,27.733,1.3020000000000000,Rangoon,Burma,16.87N,95.44E
1805-09-01,26.99,1.962,Rangoon,Burma,16.87N,95.44E
1805-10-01,25.585,1.717,Rangoon,Burma,16.87N,95.44E
1805-11-01,25.252,2.271,Rangoon,Burma,16.87N,95.44E
1805-12-01,25.159000000000000,1.696,Rangoon,Burma,16.87N,95.44E
1806-01-01,24.108,1.83,Rangoon,Burma,16.87N,95.44E
1806-02-01,25.331,2.319,Rangoon,Burma,16.87N,95.44E
1806-03-01,27.934,1.812,Rangoon,Burma,16.87N,95.44E
1806-04-01,29.714000000000000,2.507,Rangoon,Burma,16.87N,95.44E
1806-05-01,29.439,1.831,Rangoon,Burma,16.87N,95.44E
1806-06-01,26.628,1.5760000000000000,Rangoon,Burma,16.87N,95.44E
1806-07-01,26.401,1.392,Rangoon,Burma,16.87N,95.44E
1806-08-01,27.317000000000000,1.58,Rangoon,Burma,16.87N,95.44E
1806-09-01,27.741,1.825,Rangoon,Burma,16.87N,95.44E
1806-10-01,26.492000000000000,1.24,Rangoon,Burma,16.87N,95.44E
1806-11-01,25.797000000000000,1.621,Rangoon,Burma,16.87N,95.44E
1806-12-01,24.795,2.124,Rangoon,Burma,16.87N,95.44E
1807-01-01,22.688000000000000,2.125,Rangoon,Burma,16.87N,95.44E
1807-02-01,25.364,2.7060000000000000,Rangoon,Burma,16.87N,95.44E
1807-03-01,,,Rangoon,Burma,16.87N,95.44E
1807-04-01,,,Rangoon,Burma,16.87N,95.44E
1807-05-01,27.256,1.794,Rangoon,Burma,16.87N,95.44E
1807-06-01,27.877,1.27,Rangoon,Burma,16.87N,95.44E
1807-07-01,26.853,1.932,Rangoon,Burma,16.87N,95.44E
1807-08-01,26.781,1.736,Rangoon,Burma,16.87N,95.44E
1807-09-01,27.568,1.3630000000000000,Rangoon,Burma,16.87N,95.44E
1807-10-01,26.588,1.254,Rangoon,Burma,16.87N,95.44E
1807-11-01,26.002,2.042,Rangoon,Burma,16.87N,95.44E
1807-12-01,25.403000000000000,1.827,Rangoon,Burma,16.87N,95.44E
1808-01-01,,,Rangoon,Burma,16.87N,95.44E
1808-02-01,,,Rangoon,Burma,16.87N,95.44E
1808-03-01,,,Rangoon,Burma,16.87N,95.44E
1808-04-01,,,Rangoon,Burma,16.87N,95.44E
1808-05-01,,,Rangoon,Burma,16.87N,95.44E
1808-06-01,,,Rangoon,Burma,16.87N,95.44E
1808-07-01,,,Rangoon,Burma,16.87N,95.44E
